t,per,tb,L,MLT,lat,lon,eye
2003-08-22 15:27:38.660,0.26,0.6918,4.95,0.417,68.484,141.007,0
2003-08-22 17:46:51.520,0.3133,0.6875,5.454,13.006,-77.131,-92.15,0
2003-08-23 08:52:12.260,0.2,0.5563,4.591,0.654,53.227,-111.126,2
2003-08-24 09:06:10.660,0.38,0.6364,4.956,4.894,-76.754,-66.737,2
2003-08-24 12:13:14.380,0.07,0.6133,4.903,5.574,-70.128,-128.436,0
2003-08-24 12:14:17.320,0.18,0.7379,5.637,6.103,-73.766,-122.39,0
2003-08-24 12:17:29.220,0.0867,0.9272,6.947,7.912,-81.412,-76.822,0
2003-09-10 09:19:07.140,0.215,0.5958,4.869,3.456,-72.154,-117.195,1
2003-09-15 19:29:58.260,0.18,0.7077,5.542,22.254,67.43,30.914,2
2003-09-19 09:13:09.540,0.3267,0.7663,5.341,2.352,-69.24,-138.927,0
2003-09-19 12:17:39.400,0.195,0.6134,4.791,0.41,-52.769,163.034,2
2003-10-15 06:11:06.120,0.1067,0.7065,5.13,3.635,-75.89,-26.21,0
2003-10-15 10:54:24.560,0.065,0.7818,5.492,6.218,-76.787,-100.416,0
2003-10-16 00:59:32.920,0.16,0.6016,4.568,21.252,-75.661,-59.215,0
2003-10-17 05:28:10.460,0.1533,0.6446,4.776,3.497,-72.544,-11.717,0
2003-10-18 08:14:16.920,0.38,0.5692,4.552,4.65,-75.616,-62.662,1
2003-10-19 08:29:42.820,0.1,0.7311,5.615,8.786,63.443,-16.687,0
2003-10-20 23:23:07.760,0.2267,0.5293,4.381,4.521,-48.16,90.059,2
2003-10-21 20:22:31.660,0.4733,0.523,4.258,6.784,65.592,161.657,1
2003-10-21 20:24:00.440,0.1467,0.9737,6.35,6.87,70.787,167.31,0
2003-10-29 18:59:14.160,0.16,0.3888,3.357,5.591,61.584,162.653,0
2003-10-30 00:48:44.580,0.1533,0.3124,2.838,3.165,-44.812,50.655,2
2003-10-30 18:37:39.240,0.1067,0.4991,3.822,5.431,63.537,167.388,0
2003-10-31 20:54:18.580,0.0733,0.7223,4.932,3.371,-48.565,104.24,0
2003-11-08 00:40:13.140,0.212,0.1877,1.947,2.537,-33.238,36.757,1
2003-11-10 16:06:58.380,0.21,0.5554,4.501,3.742,64.865,-176.748,2
2003-11-11 12:33:26.140,0.225,0.5697,4.516,3.308,56.797,-130.404,0
2003-11-11 14:08:51.280,0.275,0.5253,4.266,3.317,60.41,-152.403,2
2003-11-11 20:27:57.240,0.32,0.4665,3.927,4.226,64.3,115.05,2
2003-11-13 14:27:53.020,0.125,0.5145,4.253,3.629,-52.945,172.453,0
2003-11-13 18:08:34.780,0.155,0.4406,3.76,3.78,64.041,145.709,2
2003-11-13 21:17:49.460,0.15,0.5116,4.213,4.009,65.093,98.994,0
2003-11-14 07:41:50.780,0.15,0.5875,4.53,2.779,-72.899,-104.81,0
2003-11-14 13:01:30.120,0.34,0.6231,4.834,2.871,60.34,-141.806,1
2003-11-14 14:06:02.760,0.14,0.4123,3.58,3.49,-50.858,176.673,2
2003-11-15 20:01:50.280,0.18,0.6057,4.676,0.701,-49.725,85.511,2
2003-11-15 23:06:59.400,0.135,0.7148,5.08,23.216,-63.902,31.512,0
2003-11-16 10:40:22.740,0.24,0.6443,4.99,2.848,54.81,-113.428,1
2003-11-17 15:04:06.340,0.15,0.587,4.617,2.782,65.128,-175.415,2
2003-11-17 16:08:28.580,0.26,0.459,3.939,2.301,-46.346,141.137,1
2003-11-20 18:37:52.700,0.0867,0.2891,2.619,2.702,56.556,118.937,0
2003-11-22 17:24:33.620,0.1,0.7632,4.755,0.615,-47.743,111.039,0
2003-11-22 20:33:15.360,0.2467,0.4525,3.629,23.5,-48.799,63.232,2
2003-12-09 14:03:09.920,0.16,0.554,4.516,22.819,-47.221,126.143,0
2003-12-21 21:06:04.380,0.7933,0.6359,5.29,6.993,68.915,161.315,1
