,t,per,tb,L,MLT,lat,lon,shapes,final_eye
141,2002-01-11 09:51:23.420,0.34,0.5668,4.491,0.269,56.846,-131.35,crown,1.0
142,2002-01-12 20:53:07.840,0.195,0.6082,4.815,1.213,66.494,66.904,,3.0
143,2002-02-07 06:41:51.480,0.11,0.7805,5.613,21.364,-62.038,-168.765,,3.0
144,2002-02-09 21:59:17.900,0.61,0.6418,5.35,9.875,-54.762,164.398,crown,1.5
145,2002-03-24 03:26:11.000,0.7067,0.636,4.534,1.884,-67.577,3.732,,2.5
146,2002-04-03 04:45:34.760,0.24,0.5753,4.784,1.866,-74.124,-26.78,,2.0
147,2002-04-18 03:20:46.540,0.26,0.4499,3.694,0.018,-70.536,-43.196,crown,1.0
148,2002-04-18 03:21:47.980,0.135,0.69,4.421,0.212,-73.849,-37.531,,3.0
149,2002-04-18 04:56:26.520,0.2267,0.4724,3.829,0.876,-72.28,-64.448,decr,1.0
150,2002-04-18 07:15:43.720,0.48,0.4369,3.567,11.906,61.43,68.835,crown,1.0
151,2002-04-18 12:14:58.840,0.1667,0.4807,3.79,21.248,64.136,140.311,,2.0
152,2002-04-19 02:19:02.180,0.58,0.5134,4.141,11.724,65.658,144.646,decr,1.0
153,2002-04-20 00:31:04.400,0.3267,0.4802,4.013,11.256,64.378,168.581,,2.0
154,2002-04-20 03:59:22.920,0.2933,0.4625,3.678,21.933,46.136,-90.406,,2.5
155,2002-04-20 05:33:57.660,0.22,0.4151,3.391,21.307,48.233,-114.87,crown,1.5
156,2002-05-12 07:44:25.800,0.205,0.5865,4.471,22.043,-57.987,-170.421,,2.5
157,2002-07-16 13:01:26.260,0.3133,0.6395,5.123,22.837,68.412,162.624,,2.5
158,2002-08-02 03:24:53.260,0.096,0.6862,5.004,7.462,-51.539,81.006,,3.0
159,2002-08-03 06:23:29.580,0.32,0.6528,4.973,6.878,-61.412,38.995,,2.5
160,2002-08-03 08:00:00.120,0.4,0.6287,4.974,7.081,-66.564,18.905,crown,1.0
161,2002-08-03 09:36:33.900,0.2667,0.6524,5.144,7.583,-71.557,0.979,,2.0
162,2002-08-04 02:56:24.040,0.2,0.6355,5.061,7.262,-51.247,83.882,crown,1.5
163,2002-08-18 06:01:42.460,0.5067,0.7158,5.504,5.128,-69.012,20.081,,2.5
164,2002-08-21 03:40:40.380,0.1467,0.584,4.523,4.566,-58.857,40.831,,3.0
165,2002-08-21 04:42:46.500,0.12,0.7546,5.06,5.149,63.239,-5.845,,2.5
166,2002-09-01 01:00:13.000,0.34,0.543,4.478,3.134,-54.979,56.265,crown,1.5
167,2002-09-04 05:50:50.380,0.3,0.3869,3.303,16.138,61.312,160.394,,3.0
168,2002-09-07 20:04:25.580,0.2933,0.373,3.279,3.347,-42.019,111.543,,2.0
169,2002-09-12 08:55:11.260,0.2067,0.6114,4.846,0.986,53.664,-109.763,,2.5
170,2002-09-13 07:06:14.320,0.3667,0.5567,4.622,1.78,50.21,-83.101,,2.0
171,2002-09-13 12:32:08.840,0.3467,0.6359,5.178,10.621,-72.418,-2.523,other,1.0
172,2002-09-17 09:50:26.840,0.5133,0.6057,4.92,5.272,-76.085,-86.169,,2.0
173,2002-09-20 01:22:02.140,0.215,0.7106,5.894,13.988,-56.387,166.243,,3.0
174,2002-10-01 17:14:34.880,0.68,0.8222,4.25,23.948,-46.298,105.647,,2.5
175,2002-10-02 03:55:33.120,0.24,0.3764,3.229,23.686,44.193,-72.563,,3.0
176,2002-10-02 07:35:45.060,0.2267,0.4434,3.546,2.553,-69.048,-97.154,,2.5
177,2002-10-02 07:36:15.360,0.2,0.5143,3.808,2.702,-70.751,-94.962,,3.0
178,2002-10-04 03:06:45.400,0.5267,0.4815,3.897,12.471,64.72,141.859,crown,1.5
179,2002-10-04 07:05:15.880,0.22,0.4435,3.63,2.263,-70.032,-92.383,,3.0
180,2002-10-04 11:45:05.380,0.4667,0.4038,3.442,1.587,-51.761,-175.849,decr,1.0
181,2002-10-04 11:46:06.320,0.22,0.55,4.206,1.935,-55.781,-174.395,,2.0
182,2002-10-04 13:20:50.920,0.0933,0.993,5.655,1.568,-54.795,161.336,,3.0
183,2002-10-05 03:07:27.660,0.28,0.6031,4.546,23.237,51.159,-69.039,half,1.0
184,2002-10-05 06:01:28.540,0.6267,0.5245,4.279,12.739,65.351,96.393,other,1.0
185,2002-10-05 18:36:50.880,0.3133,0.4801,4.026,11.574,49.324,-102.383,,2.5
186,2002-10-08 04:28:20.100,0.1333,0.4182,3.538,0.697,-70.537,-60.823,,3.0
187,2002-10-14 06:05:08.620,0.14,0.576,4.379,1.412,-73.383,-92.761,,2.5
188,2002-10-25 06:27:05.680,0.125,0.8188,5.478,5.003,-72.866,0.813,,3.0
189,2002-10-27 13:34:13.580,0.105,0.5989,4.757,20.539,-47.794,107.0,,3.0
190,2002-10-29 11:41:04.640,0.46,0.5983,4.917,7.224,-75.474,-92.594,decr,1.5
191,2002-10-30 00:14:24.480,0.08,0.7272,5.32,21.347,-76.512,-29.738,,2.5
192,2002-11-05 06:37:36.480,0.3,0.5809,4.683,4.197,-73.975,-27.128,other,1.0
193,2002-11-06 19:05:55.060,0.4467,0.7206,5.784,7.313,-55.106,161.234,,2.5
194,2002-11-15 08:24:05.820,0.1267,0.6956,5.467,19.454,-51.78,146.705,,3.0
195,2002-11-21 19:44:16.880,0.23,0.5934,4.75,4.009,-47.909,123.032,,3.0
196,2002-11-22 00:15:42.620,0.14,0.7296,5.195,19.971,-77.49,-74.443,,3.0
197,2002-11-23 11:57:45.660,0.18,0.9079,6.381,15.751,69.786,42.022,,3.0
198,2002-11-25 15:56:52.500,0.5533,0.4949,4.157,4.366,61.796,-162.912,decr,1.5
199,2002-12-01 08:55:27.080,0.1,0.6262,4.902,3.698,-73.033,-114.128,,3.0
200,2002-12-01 09:28:59.840,0.38,0.636,5.202,4.573,52.042,-82.949,,2.0
201,2002-12-01 12:40:33.400,0.2267,0.7059,5.306,3.482,58.746,-127.979,,2.0
202,2002-12-20 20:10:39.980,0.6933,0.6672,5.451,10.318,59.447,-129.254,,2.5
203,2002-12-28 03:33:36.460,0.3467,0.743,5.737,9.861,69.818,95.566,,2.5
204,2003-01-02 07:36:40.200,0.2867,0.7928,5.914,23.969,-67.275,-152.995,,2.5
205,2003-01-03 00:00:41.420,0.0733,0.6686,5.326,0.373,64.442,-2.066,,3.0
206,2003-01-24 00:43:11.880,0.66,0.608,5.236,7.669,-48.993,115.182,crown,1.5
207,2003-01-25 12:35:41.980,0.1867,0.743,5.918,6.728,54.171,-87.529,,2.0
208,2003-01-30 16:42:01.260,0.2233,0.1832,1.914,17.66,-32.45,26.427,crown,1.0
209,2003-01-30 16:42:08.180,0.216,0.1809,1.897,17.675,-32.079,26.478,crown,1.0
210,2003-02-01 20:25:01.320,0.34,0.6459,5.137,8.169,-53.758,163.09,half,1.5
211,2003-02-09 01:37:15.880,0.3667,0.7961,5.827,4.176,68.448,36.544,,2.5
212,2003-02-12 16:30:02.560,0.1867,0.5818,4.617,2.781,66.64,167.748,,2.5
213,2003-02-15 17:43:34.580,0.0886,0.8093,6.407,7.198,-60.301,177.742,,3.0
214,2003-02-17 14:56:57.820,0.38,0.6397,5.176,1.842,67.248,-179.968,crown,1.0
215,2003-02-18 22:32:28.420,0.5333,0.5678,4.71,2.684,66.128,64.512,,2.5
216,2003-02-26 10:37:13.600,0.2467,0.5732,4.54,1.227,55.833,-125.497,,2.0
217,2003-02-27 14:00:29.260,0.2267,0.5751,4.612,5.973,-64.144,-148.579,,2.0
218,2003-02-28 11:20:37.540,0.128,0.7857,5.573,16.39,68.97,74.358,,3.0
219,2003-03-05 10:00:08.460,0.3333,0.5533,4.411,0.178,56.56,-131.173,decr,1.5
220,2003-03-06 02:21:51.620,0.15,1.0196,5.669,1.157,-69.963,18.559,,3.0
221,2003-03-10 13:06:28.240,0.195,0.6234,4.644,23.276,66.748,164.348,,3.0
222,2003-03-15 13:49:26.840,0.72,0.6218,5.174,9.825,-77.707,-59.299,decr,1.5
223,2003-03-16 20:40:48.940,0.2067,0.4901,4.01,23.568,62.663,41.032,,2.0
224,2003-03-17 08:21:35.780,0.0867,0.6361,4.929,3.786,-76.484,-81.0,,2.5
225,2003-03-17 16:21:26.680,0.5467,0.532,4.391,11.363,-74.0,-90.169,other,1.5
226,2003-03-18 14:23:40.400,0.07,1.2126,9.577,9.042,-81.609,-127.033,,2.5
227,2003-03-18 14:23:42.420,0.085,1.2126,9.577,9.042,-81.609,-127.033,,3.0
228,2003-03-19 04:32:42.280,0.2067,0.5375,4.455,1.316,-73.939,-34.625,crown,1.0
229,2003-03-21 01:43:13.920,0.2867,0.8005,5.576,23.867,59.28,-41.205,,2.5
230,2003-03-21 01:43:20.900,0.32,0.7591,5.419,23.87,58.92,-41.023,,2.0
231,2003-03-21 05:29:22.720,0.3133,0.6126,4.831,1.889,-76.247,-46.839,,2.0
232,2003-03-21 10:11:15.360,0.2533,0.6033,4.748,3.374,-68.866,-132.288,,2.5
233,2003-03-22 05:22:36.700,0.6133,0.6001,5.089,9.722,-51.21,85.304,decr,1.0
234,2003-03-22 12:57:53.120,0.22,0.6476,5.217,2.001,-56.653,174.279,,2.5
235,2003-03-23 10:19:12.760,0.3133,0.6689,5.406,13.325,67.398,39.852,,2.0
236,2003-03-23 11:05:22.300,0.195,0.5729,4.703,2.586,-62.693,-155.9,,2.0
237,2003-03-23 19:58:25.760,0.175,0.8351,5.893,22.626,68.268,31.901,,3.0
