,t,per,tb,L,MLT,lat,lon,shapes,final_eye,pl1,dt,T05,OP,SL,T89,OM
55,2002-11-05 06:37:36.480,0.3,0.5809,4.683,4.197,-73.975,-27.128,other,1.0,1.0,"[0.28, 0.32, 0.3]",0.5808795458649659,0.5557809523350113,0.5532589628870576,0.5530992459912787,0.5880272238512079
56,2002-11-25 15:56:52.500,0.5533,0.4949,4.157,4.366,61.796,-162.912,decr,1.5,1.0,"[0.54, 0.56, 0.56]",0.4949119369601041,0.4807803750229314,0.4803344704412575,0.4785160158226713,0.4947242309492077
57,2003-01-24 00:43:11.880,0.66,0.608,5.236,7.669,-48.993,115.182,crown,1.5,0.9257491176470588,"[0.66, 0.66, 0.66]",0.6080267819009022,0.6090048306340387,0.6093170892298807,0.6052401018620027,0.6175335888662079
58,2003-01-30 16:42:01.260,0.2233,0.1832,1.914,17.66,-32.45,26.427,crown,1.0,0.3893979215686275,"[0.24, 0.22, 0.22, 0.22, 0.22, 0.22]",0.183158255735302,0.182551289500935,0.1938423515665105,0.1827967695475097,0.1829978014809633
59,2003-01-30 16:42:08.180,0.216,0.1809,1.897,17.675,-32.079,26.478,crown,1.0,0.3886178333333335,"[0.2, 0.2, 0.24, 0.24, 0.2]",0.1809234377855505,0.1803607262119192,0.1919893095550339,0.1805904650632435,0.1807777232220102
60,2003-02-01 20:25:01.320,0.34,0.6459,5.137,8.169,-53.758,163.09,half,1.5,0.9890567058823528,"[0.34, 0.34, 0.34]",0.645880692047983,0.6037228659878666,0.601353818508804,0.5984132452015686,0.6101034130908313
61,2003-02-17 14:56:57.820,0.38,0.6397,5.176,1.842,67.248,-179.968,crown,1.0,0.9140275294117648,"[0.36, 0.38, 0.4]",0.639737326003511,0.6468306847986777,0.6395609815532554,0.6329261616182097,0.6376020475867406
62,2003-03-05 10:00:08.460,0.3333,0.5533,4.411,0.178,56.56,-131.173,decr,1.5,0.6681556274509804,"[0.34, 0.34, 0.32]",0.5533419042156524,0.5122108960631553,0.511090960433168,0.5094542640947982,0.5249121466164686
63,2003-03-15 13:49:26.840,0.72,0.6218,5.174,9.825,-77.707,-59.299,decr,1.5,0.9369537450980392,"[0.7, 0.74, 0.72]",0.6217436166931383,0.6156235845497472,0.6129948467503636,0.6099777741370095,0.6133842890871339
64,2003-03-17 16:21:26.680,0.5467,0.532,4.391,11.363,-74.0,-90.169,other,1.5,0.8984337156862745,"[0.56, 0.56, 0.52]",0.5319458671721785,0.5077122760691068,0.508084841089445,0.5057049489621634,0.52760886573184
65,2003-03-19 04:32:42.280,0.2067,0.5375,4.455,1.316,-73.939,-34.625,crown,1.0,0.9610680588235296,"[0.18, 0.2, 0.24]",0.5375417010559438,0.5280831132859742,0.5276935984109732,0.5245492898183504,0.5381887221941334
66,2003-03-22 05:22:36.700,0.6133,0.6001,5.089,9.722,-51.21,85.304,decr,1.0,0.8992379901960783,"[0.62, 0.62, 0.6]",0.6000405275208149,0.5953651860770183,0.591860922420164,0.5906733157232498,0.6120121704457332
67,2003-03-30 22:13:27.020,0.5,0.4949,4.051,10.583,60.81,-159.842,other,1.5,0.7337827647058823,"[0.5, 0.5, 0.5]",0.4948907397873384,0.4599909596687768,0.4605730699280134,0.4588586779603817,0.4842423471662159
68,2003-04-17 09:21:05.100,0.2667,0.781,5.788,5.189,-79.207,-69.11,crown,1.5,1.0,"[0.26, 0.28, 0.26]",0.7810633518837881,0.730933512440517,0.7244710333797577,0.7146311403713087,0.7439245467587284
69,2003-04-18 12:11:57.380,0.2533,0.6147,5.091,7.017,-75.602,-98.63,crown,1.0,1.0,"[0.26, 0.24, 0.26]",0.6147877068810852,0.616656046115629,0.6139336847846693,0.6076189417119122,0.6240579083782419
70,2003-04-22 04:36:37.240,0.2667,0.6681,5.086,4.17,-66.068,23.09,decr,1.0,1.0,"[0.3, 0.26, 0.24]",0.6681203263699821,0.6168393607591278,0.6099524186285965,0.6083307755509691,0.6270916778153572
71,2003-04-23 05:40:33.980,0.165,0.6686,4.973,23.03,-69.633,-132.35,other,1.5,0.8142881470588234,"[0.18, 0.16, 0.16, 0.16]",0.668758085679849,0.6150999501842953,0.6140492662078805,0.6050357986073883,0.6196720084733338
72,2003-04-24 15:32:10.860,0.2467,0.564,4.747,7.085,54.283,-114.755,other,1.5,1.0,"[0.22, 0.24, 0.28]",0.5639677659695208,0.5448453056438692,0.5463002831878326,0.5426844197490358,0.5595699949053813
73,2003-04-25 06:32:06.520,0.2667,0.4635,3.876,21.63,-58.223,-159.141,other,1.0,0.8445478333333334,"[0.28, 0.24, 0.28]",0.4635757972642153,0.445291368957933,0.4473928242935757,0.4443267912889054,0.4525772048330666
74,2003-05-01 19:02:19.120,0.3467,0.6027,4.917,6.557,-51.66,155.166,crown,1.5,1.0,"[0.36, 0.32, 0.36]",0.6027384465617351,0.5792684258639259,0.5750882749262305,0.5731157532692847,0.5997671483965163
75,2003-05-02 04:24:30.620,0.33,0.6587,5.166,2.542,-72.314,-2.955,crown,1.0,0.883977882352941,"[0.36, 0.32, 0.3, 0.34]",0.658793063183309,0.638415313947726,0.6313627323093339,0.6254862810416416,0.6474051617625985
76,2003-05-02 04:25:09.540,0.4667,0.5935,4.81,2.803,-69.973,0.544,other,1.0,0.9011066813725488,"[0.46, 0.48, 0.46]",0.5934797267423227,0.5793865389542564,0.5744217728307032,0.5717500971605715,0.5863533575931307
77,2003-05-04 00:39:56.900,0.495,0.624,5.049,3.485,-55.186,64.59,decr,1.0,0.8669241421568624,"[0.66, 0.64, 0.62]",0.6240049086017171,0.6166304046101878,0.6100054644844037,0.6055559139850467,0.6150441001747764
78,2003-05-07 15:25:09.820,0.3133,0.5578,4.563,6.093,-59.211,-166.385,other,1.5,1.0,"[0.32, 0.3, 0.32]",0.5578266556193121,0.5375637207038428,0.5358559404272388,0.5333536643306735,0.5483708704278774
79,2003-05-07 20:43:17.500,0.22,0.5759,4.65,6.512,67.44,148.696,other,1.5,1.0,"[0.22, 0.2, 0.24]",0.5759142595616814,0.5494097278967193,0.5475793264218377,0.547024686265173,0.5625532987085098
80,2003-05-08 05:32:14.220,0.2,0.615,4.864,2.269,-75.717,-40.421,decr,1.0,0.8366334313725491,"[0.22, 0.18, 0.2]",0.6149660219722214,0.591857000125832,0.5882976693272092,0.5826740209068811,0.6009874722392087
81,2003-05-08 06:10:49.860,0.48,0.7066,5.559,7.314,65.787,4.344,other,1.5,1.0,"[0.44, 0.48, 0.52]",0.7065838325810225,0.675693880201415,0.6702723327324692,0.666048672949324,0.6926411101955346
82,2003-05-10 03:55:06.420,0.26,0.5178,4.152,6.519,63.11,32.035,crown,1.0,1.0,"[0.26, 0.26, 0.26]",0.517814463167007,0.4808155296017965,0.4789386540693853,0.4795145334244919,0.5024298343989388
83,2003-05-28 06:41:45.460,0.1867,0.5961,4.57,1.618,-73.998,-95.397,decr,1.0,0.6912963970588234,"[0.16, 0.2, 0.2]",0.5960177324501212,0.5463715516109924,0.545013979148219,0.5410354717953434,0.5619302948376461
84,2003-05-28 13:05:07.520,0.52,0.5854,4.623,2.937,-57.482,-174.237,other,1.5,0.6729537058823529,"[0.5, 0.54, 0.52]",0.5852700077539135,0.5492823087919658,0.5456694689769236,0.5441746297165312,0.5599752301371692
85,2003-06-09 13:45:01.980,0.2867,0.5806,4.755,0.655,-50.988,153.433,crown,1.5,0.3896661666666666,"[0.26, 0.28, 0.32]",0.5805868171835422,0.5592201534263561,0.555163997687874,0.5575558472098865,0.5679352119521309
