,t,w,s,s_err
154,2003-12-16 19:17:12.940,"[0.0353, 0.041, 0.0406, 0.0353]","[0.185195, 0.184261, 0.187439]","[0.0029, 0.0032, 0.003]"
155,2003-12-18 18:30:24.860,"[0.0662, 0.0614, 0.0581, 0.0625, 0.0613, 0.0612, 0.0731, 0.0645]","[0.201473, 0.209365, 0.205795, 0.200956, 0.20006, 0.192001, 0.198411]","[0.0021, 0.0029, 0.0023, 0.0029, 0.0017, 0.002, 0.0011]"
156,2004-01-01 06:12:55.980,"[0.0353, 0.0379, 0.0353, 0.0384]","[0.16579, 0.154123, 0.15475]","[0.0032, 0.0022, 0.0022]"
157,2004-01-01 06:13:11.260,[],[],[]
158,2004-01-01 17:47:10.940,[],[],[]
159,2004-01-05 17:47:52.700,[],[],[]
160,2004-01-06 17:23:53.480,[],[],[]
161,2004-01-27 10:17:57.080,[],[],[]
162,2004-01-29 14:37:54.740,[],[],[]
163,2004-01-30 02:40:49.620,"[0.0532, 0.057, 0.0409]","[0.169394, 0.164134]","[0.0051, 0.0043]"
164,2004-01-31 02:18:42.720,[],[],[]
165,2004-02-13 00:17:04.920,"[0.0812, 0.0498]",[0.198743],[0.0043]
166,2004-02-24 22:37:06.420,[],[],[]
167,2004-02-27 23:00:53.840,[],[],[]
168,2004-02-28 22:35:05.120,"[0.0763, 0.15]",[0.182639],[0.1157]
169,2004-07-28 00:57:41.160,[],[],[]
170,2004-08-09 08:31:16.540,[],[],[]
171,2004-08-15 05:57:05.220,[],[],[]
172,2004-08-17 22:17:56.780,[],[],[]
173,2004-08-30 04:15:07.200,[],[],[]
174,2004-09-16 05:10:03.000,[],[],[]
175,2004-09-16 09:48:23.280,"[0.1019, 0.0803, 0.0511, 0.0353, 0.0473, 0.0378, 0.0419, 0.0812, 0.0882]","[0.203127, 0.20751, 0.193607, 0.18529, 0.194963, 0.186035, 0.187876, 0.196034]","[0.0047, 0.0044, 0.0024, 0.0038, 0.0025, 0.0022, 0.0045, 0.0071]"
176,2004-09-20 05:01:37.260,"[0.0381, 0.0412]",[0.171537],[0.0032]
177,2004-09-25 04:24:41.020,"[0.1127, 0.056]",[0.233348],[0.0038]
178,2004-09-25 04:24:48.440,[],[],[]
179,2004-09-25 04:25:08.260,[],[],[]
180,2004-11-09 22:30:36.980,[],[],[]
181,2004-11-14 06:26:23.620,"[0.0526, 0.0376]",[0.230039],[0.002]
182,2004-12-09 07:01:04.460,[],[],[]
183,2004-12-11 12:31:11.220,[],[],[]
184,2004-12-12 05:42:04.380,"[0.0496, 0.0737]",[0.193778],[0.0051]
185,2004-12-12 17:11:30.200,[],[],[]
186,2004-12-17 05:00:18.240,"[0.0406, 0.0379, 0.048, 0.0544, 0.0562, 0.0617, 0.057]","[0.189388, 0.191163, 0.189602, 0.187313, 0.190651, 0.192637]","[0.0015, 0.001, 0.0019, 0.0013, 0.0021, 0.0026]"
187,2004-12-17 05:00:23.740,[],[],[]
188,2004-12-17 05:01:43.020,[],[],[]
189,2005-01-24 23:54:36.980,[],[],[]
190,2005-01-25 23:25:01.960,"[0.0917, 0.0793, 0.0486]","[0.193069, 0.177403]","[0.0037, 0.0029]"
191,2005-01-25 23:26:03.060,[],[],[]
192,2005-02-04 21:59:31.240,"[0.0922, 0.0353, 0.0353, 0.0353, 0.0353, 0.0458, 0.0532, 0.0797, 0.0843]","[0.251539, 0.224795, 0.229699, 0.222243, 0.226025, 0.227718, 0.22959, 0.216247]","[0.0039, 0.0025, 0.0017, 0.0016, 0.0025, 0.0033, 0.0049, 0.0065]"
193,2005-02-08 21:43:17.340,[],[],[]
194,2005-02-14 08:28:01.820,"[0.0518, 0.058, 0.0579, 0.0651, 0.0505, 0.0636, 0.048, 0.0516]","[0.206535, 0.199617, 0.196567, 0.200333, 0.195587, 0.188937, 0.19267]","[0.0038, 0.003, 0.0039, 0.0011, 0.0052, 0.0036, 0.0022]"
195,2005-02-16 07:31:35.260,"[0.0387, 0.0584, 0.0599]","[0.254304, 0.240705]","[0.003, 0.0055]"
196,2005-02-16 07:32:13.880,"[0.0504, 0.0524]",[0.209922],[0.0042]
197,2005-02-17 20:41:09.360,[],[],[]
198,2005-02-18 20:13:17.140,[],[],[]
199,2005-02-23 19:30:32.040,"[0.0808, 0.0602]",[0.220195],[0.0056]
200,2005-02-27 19:12:29.800,"[0.0618, 0.0685, 0.0398, 0.0353, 0.0372, 0.0369, 0.0392, 0.042, 0.0598]","[0.19784, 0.195708, 0.191188, 0.193079, 0.189547, 0.194192, 0.185943, 0.185519]","[0.0024, 0.0027, 0.002, 0.0021, 0.0028, 0.0042, 0.0048, 0.0041]"
201,2005-03-01 18:17:51.140,[],[],[]
202,2005-03-07 08:04:25.320,[],[],[]
203,2005-03-08 06:09:06.360,"[0.0353, 0.0353, 0.0353, 0.0353, 0.039, 0.0353, 0.0438]","[0.162248, 0.157291, 0.15592, 0.151306, 0.153987, 0.15487]","[0.0037, 0.003, 0.0016, 0.0021, 0.0033, 0.0042]"
204,2005-03-08 18:10:21.080,"[0.0355, 0.0674, 0.0594, 0.0353]","[0.199232, 0.194019, 0.194912]","[0.0062, 0.0021, 0.0037]"
205,2005-05-14 20:14:27.260,[],[],[]
206,2005-05-24 16:59:45.960,[],[],[]
207,2005-05-30 17:17:30.440,"[0.0904, 0.1101, 0.0742]","[0.247477, 0.284061]","[0.0066, 0.0072]"
208,2005-06-17 03:29:43.720,"[0.0602, 0.0417, 0.0855, 0.0915]","[0.212244, 0.204412, 0.185731]","[0.0019, 0.0059, 0.0071]"
209,2005-06-18 10:58:15.340,"[0.0414, 0.0353, 0.0392]","[0.253463, 0.250415]","[0.0017, 0.0017]"
210,2005-06-19 13:59:04.340,"[0.0353, 0.0363, 0.0579, 0.0562]","[0.273704, 0.264791, 0.244562]","[0.0026, 0.0037, 0.0031]"
211,2005-08-20 10:37:39.820,[],[],[]
212,2005-08-26 04:37:19.900,[],[],[]
213,2005-08-27 04:07:52.120,[],[],[]
214,2005-08-27 04:08:25.280,[],[],[]
215,2005-09-01 03:17:00.500,[],[],[]
216,2005-09-12 02:35:43.740,"[0.0818, 0.0579]",[0.263428],[0.0028]
217,2005-09-17 01:44:18.900,[],[],[]
218,2005-09-23 00:22:16.600,[],[],[]
219,2005-09-29 06:44:11.500,[],[],[]
220,2005-10-05 03:48:36.760,[],[],[]
221,2005-10-07 23:16:33.860,[],[],[]
222,2005-10-08 22:47:26.460,"[0.0353, 0.0353, 0.0353, 0.0461, 0.0359, 0.0656]","[0.217688, 0.212342, 0.215149, 0.211345, 0.215569]","[0.0017, 0.0039, 0.0026, 0.0029, 0.0051]"
223,2005-10-08 22:47:37.780,"[0.0774, 0.0504, 0.0578, 0.0455, 0.0473]","[0.226094, 0.22297, 0.217671, 0.207652]","[0.0016, 0.002, 0.0033, 0.004]"
224,2005-10-23 10:12:51.000,[],[],[]
