,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,Beq
2003-04-30 03:39:29.760,33.516,-37.628,563.164,2.187,0.24,5.202,67.699,67.699,92.802,1,0,132.0,0.029
2003-05-01 03:21:14.500,37.429,-31.116,559.942,1.851,0.244,5.352,67.371,67.371,92.375,1,0,1440.0,0.048
2003-05-21 13:29:07.920,33.301,-33.357,550.212,1.959,0.238,14.892,68.31,68.31,91.928,1,0,172.0,0.041
2003-06-08 22:02:22.580,34.509,-37.24,478.852,2.149,0.248,23.897,69.712,69.712,83.418,1,1,122.0,0.031
2003-06-15 21:13:11.000,32.526,-35.825,466.722,2.071,0.244,22.978,70.48,70.48,94.635,1,1,280.0,0.035
2003-06-15 21:13:24.480,32.659,-34.974,466.121,2.022,0.243,23.017,70.521,70.521,93.158,1,1,126.0,0.037
2003-07-15 17:08:11.940,32.058,-31.862,505.786,1.878,0.238,18.609,69.599,69.599,87.089,1,0,1248.0,0.046
2003-08-05 10:58:21.320,-80.092,-58.067,501.891,2.141,0.309,5.81,64.027,64.027,107.194,0,0,1248.0,0.031
2003-09-14 06:14:14.020,-92.897,-57.502,560.444,2.183,0.325,0.912,62.231,62.231,80.994,0,1,196.0,0.029
2003-10-04 05:39:19.800,33.924,-38.238,462.413,2.201,0.249,7.337,70.159,70.159,92.704,1,0,140.0,0.029
2003-10-13 10:10:01.800,-58.36,-54.695,469.499,1.98,0.263,6.483,65.943,65.943,107.569,1,0,488.0,0.039
2003-10-14 18:52:49.400,6.536,-37.629,493.017,2.071,0.216,18.785,70.85,70.85,93.712,1,0,1120.0,0.035
2003-10-16 09:04:34.940,-47.445,-52.949,471.364,1.996,0.246,5.873,66.784,66.784,85.284,1,0,1184.0,0.039
2003-10-20 04:33:03.240,18.433,-31.7,480.016,1.872,0.225,5.462,70.87,70.87,91.796,1,0,1440.0,0.047
2003-10-22 05:23:50.380,1.7,-30.549,485.29,1.773,0.218,5.228,69.515,69.515,91.489,1,0,5248.0,0.055
2003-10-25 16:24:29.480,20.308,-35.804,469.477,2.054,0.226,17.348,71.616,71.616,93.373,1,0,2880.0,0.036
2003-10-26 16:03:41.920,24.595,-40.621,468.019,2.314,0.234,17.136,71.068,71.068,92.74,1,0,236.0,0.025
2003-11-05 00:12:46.400,50.031,-32.91,520.414,1.937,0.284,2.923,66.136,66.136,87.399,0,0,912.0,0.042
2003-11-08 00:40:13.340,36.769,-33.155,527.718,1.943,0.246,2.54,68.259,68.259,92.395,1,0,528.0,0.042
2003-11-08 00:40:19.580,36.824,-32.768,527.832,1.925,0.246,2.556,68.255,68.255,92.51,1,0,312.0,0.043
2003-11-13 06:35:22.960,-68.693,-52.834,533.968,1.859,0.261,2.562,63.631,63.631,99.977,0,0,6272.0,0.047
